resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,code,forename,surname
22401,912,815,10,11,10,7,7,7,6,53,+1:02.518,4812754,35,8,01:29.1,234.042,1,PER,Sergio,Pérez
22402,912,18,1,22,6,8,8,8,4,53,+1:03.063,4813299,35,11,01:29.2,233.68,1,BUT,Jenson,Button
22403,912,8,6,7,11,9,9,9,2,53,+1:03.535,4813771,43,7,01:28.9,234.476,1,RAI,Kimi,Räikkönen
22404,912,825,1,20,5,10,10,10,1,53,+1:06.171,4816407,34,12,01:29.3,233.58,1,MAG,Kevin,Magnussen
22405,912,826,5,26,21,11,11,11,0,53,+1:11.184,4821420,51,4,01:28.5,235.684,1,KVY,Daniil,Kvyat
22406,912,807,10,27,13,12,12,12,0,53,+1:12.606,4822842,35,13,01:29.4,233.363,1,HUL,Nico,Hülkenberg
22407,912,818,5,25,12,13,13,13,0,53,+1:13.093,4823329,39,9,01:29.1,234.005,1,VER,Jean-Éric,Vergne
22417,913,1,131,44,1,1,1,1,25,60,00:04.8,7204795,39,1,01:50.4,165.137,1,HAM,Lewis,Hamilton
22418,913,20,9,1,4,2,2,2,18,60,13.534,7218329,27,8,01:52.5,162.052,1,VET,Sebastian,Vettel
22419,913,817,9,3,3,3,3,3,15,60,14.273,7219068,30,9,01:52.6,161.98,1,RIC,Daniel,Ricciardo
22420,913,4,6,14,5,4,4,4,12,60,15.389,7220184,27,6,01:52.1,162.636,1,ALO,Fernando,Alonso
22421,913,13,3,19,6,5,5,5,10,60,42.161,7246956,27,13,01:53.3,160.959,1,MAS,Felipe,Massa
22422,913,818,5,25,12,6,6,6,8,60,56.801,7261596,48,4,01:51.9,162.895,1,VER,Jean-Éric,Vergne
22423,913,815,10,11,15,7,7,7,6,60,59.038,7263833,46,5,01:52.0,162.793,1,PER,Sergio,Pérez
22424,913,8,6,7,7,8,8,8,4,60,+1:00.641,7265436,28,11,01:52.9,161.545,1,RAI,Kimi,Räikkönen
22425,913,807,10,27,13,9,9,9,2,60,+1:01.661,7266456,27,10,01:52.8,161.703,1,HUL,Nico,Hülkenberg
22426,913,825,1,20,9,10,10,10,1,60,+1:02.230,7267025,48,2,01:51.6,163.33,1,MAG,Kevin,Magnussen
22427,913,822,3,77,8,11,11,11,0,60,+1:05.065,7269860,25,7,01:52.5,162.058,1,BOT,Valtteri,Bottas
22428,913,813,208,13,18,12,12,12,0,60,+1:06.915,7271710,26,12,01:53.2,161.059,1,MAL,Pastor,Maldonado
22429,913,154,208,8,16,13,13,13,0,60,+1:08.029,7272824,25,15,01:53.5,160.591,1,GRO,Romain,Grosjean
22430,913,826,5,26,10,14,14,14,0,60,+1:12.008,7276803,45,3,01:51.8,163.151,1,KVY,Daniil,Kvyat
22431,913,828,207,9,22,15,15,15,0,60,+1:34.188,7298983,14,19,01:55.4,157.985,1,ERI,Marcus,Ericsson
22432,913,824,206,17,19,16,16,16,0,60,+1:34.543,7299338,47,14,01:53.5,160.598,1,BIA,Jules,Bianchi
22439,914,1,131,44,2,1,1,1,25,44,51:43.0,6703021,39,1,01:51.6,187.322,1,HAM,Lewis,Hamilton
22440,914,3,131,6,1,2,2,2,18,44,9.18,6712201,15,6,01:52.6,185.739,1,ROS,Nico,Rosberg
22441,914,20,9,1,9,3,3,3,15,44,29.122,6732143,32,3,01:51.9,186.795,1,VET,Sebastian,Vettel
22442,914,817,9,3,6,4,4,4,12,44,38.818,6741839,38,4,01:52.2,186.269,1,RIC,Daniel,Ricciardo
22443,914,18,1,22,8,5,5,5,10,44,+1:07.550,6770571,33,2,01:51.7,187.119,1,BUT,Jenson,Button
22444,914,822,3,77,3,6,6,6,8,44,+1:53.773,6816794,41,13,01:54.1,183.213,1,BOT,Valtteri,Bottas
22445,914,13,3,19,4,7,7,7,6,44,+1:55.126,6818147,39,8,01:53.5,184.267,1,MAS,Felipe,Massa
22446,914,807,10,27,13,8,8,8,4,44,+1:55.948,6818969,28,7,01:52.8,185.306,1,HUL,Nico,Hülkenberg
22447,914,818,5,25,20,9,9,9,2,44,+2:07.638,6830659,35,11,01:53.6,184.086,1,VER,Jean-Éric,Vergne
22461,915,1,131,44,1,1,1,1,25,53,31:50.7,5510744,48,3,01:41.6,207.2,1,HAM,Lewis,Hamilton
22462,915,3,131,6,2,2,2,2,18,53,13.657,5524401,52,2,01:41.4,207.703,1,ROS,Nico,Rosberg
22463,915,822,3,77,3,3,3,3,15,53,17.425,5528169,53,1,01:40.9,208.658,1,BOT,Valtteri,Bottas
22464,915,18,1,22,4,4,4,4,12,53,30.234,5540978,47,4,01:42.0,206.472,1,BUT,Jenson,Button
22465,915,825,1,20,11,5,5,5,10,53,53.616,5564360,44,14,01:43.1,204.245,1,MAG,Kevin,Magnussen
